Date,Stock Price,TTM Net EPS,PE Ratio
2024-03-07,409.14,,36.99
2023-12-31,375.35,11.06,33.94
2023-09-30,314.53,10.33,30.45
2023-06-30,338.51,9.69,34.93
2023-03-31,285.96,9.23,30.98
2022-12-31,237.28,9.00,26.36
2022-09-30,229.78,9.28,24.76
2022-06-30,252.86,9.64,26.23
2022-03-31,302.80,9.58,31.61
2021-12-31,329.63,9.39,35.10
2021-09-30,275.81,8.94,30.85
2021-06-30,264.51,7.69,34.40
2021-03-31,229.68,6.92,33.19
2020-12-31,216.18,6.40,33.78
2020-09-30,203.89,5.18,39.36
2020-06-30,196.80,5.75,34.23
2020-03-31,152.09,6.00,25.35
2019-12-31,151.67,6.42,23.62
2019-09-30,133.26,6.05,22.03
2019-06-30,128.40,5.75,22.33
2019-03-31,112.63,4.50,25.03
2018-12-31,96.59,4.31,22.41
2018-09-30,108.28,2.41,44.93
2018-06-30,93.00,2.11,44.08
2018-03-31,85.71,1.80,47.61
2017-12-31,79.96,1.46,54.76
2017-09-30,69.28,2.94,23.56
2017-06-30,63.77,2.70,23.62
2017-03-31,60.59,2.26,26.81
2016-12-31,56.82,2.12,26.80
2016-09-30,52.32,2.08,25.15
2016-06-30,46.19,2.05,22.53
2016-03-31,49.50,1.26,39.29
2015-12-31,49.38,1.40,35.27
2015-09-30,39.07,1.49,26.22
2015-06-30,38.78,1.46,26.56
2015-03-31,35.48,2.41,14.72
2014-12-31,40.25,2.48,16.23
2014-09-30,39.91,2.55,15.65
2014-06-30,35.68,2.63,13.57
2014-03-31,34.83,2.67,13.05
2013-12-31,31.55,2.71,11.64
2013-09-30,27.86,2.69,10.36
2013-06-30,28.71,2.60,11.04
2013-03-31,23.61,1.95,12.11
2012-12-31,21.87,1.83,11.95
2012-09-30,24.16,1.85,13.06
2012-06-30,24.67,2.00,12.34
2012-03-31,25.84,2.75,9.40
2011-12-31,20.66,2.76,7.49
2011-09-30,19.66,2.75,7.15
2011-06-30,20.41,2.69,7.59
2011-03-31,19.80,2.51,7.89
2010-12-31,21.64,2.35,9.21
2010-09-30,18.87,2.32,8.13
2010-06-30,17.64,2.10,8.40
2010-03-31,22.35,1.93,11.58
2009-12-31,23.15,1.81,12.79
