Date,Open,High,Low,Close,Adj Close,Volume
2007-01-03,6.178333,6.253333,5.798333,6.013333,5.516043,115482000
2007-01-04,5.991667,6.013333,5.838333,5.985000,5.490055,79729800
2007-01-05,5.843333,5.866667,5.570000,5.610000,5.146065,124334400
2007-01-08,5.630000,5.760000,5.533333,5.651667,5.184286,65727000
2007-01-09,5.660000,5.698333,5.535000,5.541667,5.083384,76416600
2007-01-10,5.483333,5.866667,5.400000,5.815000,5.334112,110874600
2007-01-11,5.815000,5.860000,5.698333,5.793333,5.314236,92450400
2007-01-12,5.706667,5.895000,5.680000,5.871667,5.386095,69819000
2007-01-16,5.916667,5.920000,5.815000,5.881667,5.395267,71186400
2007-01-17,5.800000,5.835000,5.736667,5.758333,5.282130,70793400
2007-01-18,5.708333,5.708333,5.210000,5.281667,4.844885,150163800
2007-01-19,5.225000,5.423333,5.188333,5.313333,4.873933,94260600
2007-01-22,5.363333,5.450000,5.293333,5.313333,4.873933,73064400
2007-01-23,5.288333,5.400000,5.190000,5.315000,4.875462,63035400
2007-01-24,5.383333,5.551667,5.358333,5.480000,5.026816,68572200
2007-01-25,5.530000,5.550000,5.261667,5.288333,4.850998,61628400
2007-01-26,5.333333,5.385000,5.150000,5.245000,4.811250,82958400
2007-01-29,5.221667,5.225000,4.985000,5.030000,4.614030,125828400
2007-01-30,5.063333,5.160000,5.018333,5.126667,4.702704,63617400
2007-01-31,5.101667,5.156667,5.038333,5.108333,4.685884,46797600
2007-02-01,5.060000,5.200000,5.050000,5.173333,4.745511,65089800
2007-02-02,5.201667,5.333333,5.158333,5.308333,4.869346,58659000
2007-02-05,5.333333,5.440000,5.325000,5.395000,4.948845,57990600
2007-02-06,5.516667,5.656667,5.435000,5.586667,5.124662,77538600
2007-02-07,5.631667,5.818333,5.598333,5.805000,5.324939,76105800
2007-02-08,5.716667,5.811667,5.666667,5.730000,5.256143,72627600
2007-02-09,5.758333,5.806667,5.420000,5.441667,4.991652,93795600
2007-02-12,5.481667,5.680000,5.423333,5.561667,5.101729,78936000
2007-02-13,5.651667,5.711667,5.595000,5.666667,5.198047,84973200
2007-02-14,5.716667,5.750000,5.578333,5.591667,5.129248,108184800
2007-02-15,5.588333,5.653333,5.535000,5.625000,5.159825,48868200
2007-02-16,5.601667,5.608333,5.436667,5.453333,5.002354,91506000
2007-02-20,5.461667,5.531667,5.423333,5.501667,5.046690,62557800
2007-02-21,5.456667,5.515000,5.365000,5.420000,4.971778,65533200
2007-02-22,5.505000,5.593333,5.441667,5.455000,5.003885,65545200
2007-02-23,5.506667,5.510000,5.440000,5.441667,4.991652,40305000
2007-02-26,5.456667,5.498333,5.350000,5.358333,4.915210,49407000
2007-02-27,5.300000,5.425000,5.188333,5.196667,4.766915,71463000
2007-02-28,5.181667,5.278333,5.118333,5.166667,4.739396,78004800
2007-03-01,5.055000,5.198333,4.988333,5.103333,4.681298,83722800
2007-03-02,5.058333,5.120000,4.951667,4.961667,4.551349,68272800
2007-03-05,4.875000,4.971667,4.776667,4.793333,4.396934,66355800
2007-03-06,4.898333,5.131667,4.878333,5.076667,4.656838,80597400
2007-03-07,5.051667,5.075000,4.911667,4.933333,4.525356,81165600
2007-03-08,5.036667,5.193333,5.033333,5.136667,4.711875,77062200
2007-03-09,5.208333,5.266667,5.026667,5.085000,4.664482,55530600
2007-03-12,5.026667,5.128333,5.020000,5.055000,4.636963,42801000
2007-03-13,5.003333,5.033333,4.838333,4.841667,4.441272,61707000
2007-03-14,4.855000,4.883333,4.673333,4.818333,4.419868,97161000
2007-03-15,4.806667,4.850000,4.696667,4.770000,4.375532,65575200
2007-03-16,4.773333,4.781667,4.691667,4.725000,4.334252,52564800
2007-03-19,4.750000,4.825000,4.733333,4.748333,4.355656,46150800
2007-03-20,4.733333,4.841667,4.706667,4.725000,4.334252,65649000
2007-03-21,4.916667,5.073333,4.823333,4.995000,4.581923,126837600
2007-03-22,5.000000,5.135000,4.976667,5.105000,4.682827,81095400
2007-03-23,5.066667,5.156667,5.011667,5.048333,4.630846,52464000
2007-03-26,5.051667,5.100000,4.966667,5.058333,4.640020,44733600
2007-03-27,5.046667,5.056667,4.958333,4.963333,4.552876,46902000
2007-03-28,4.921667,4.963333,4.860000,4.868333,4.465733,45950400
2007-03-29,4.941667,4.948333,4.705000,4.783333,4.387763,71901600
2007-03-30,4.848333,4.883333,4.771667,4.796667,4.399993,58124400
2007-04-02,4.785000,4.825000,4.713333,4.791667,4.395408,40083000
2007-04-03,4.791667,4.845000,4.728333,4.773333,4.378588,47372400
2007-04-04,4.766667,4.805000,4.750000,4.763333,4.369417,36169200
2007-04-05,4.783333,5.155000,4.783333,5.150000,4.724107,133290000
2007-04-09,5.150000,5.208333,5.046667,5.056667,4.638492,64095000
2007-04-10,5.050000,5.108333,4.995000,5.005000,4.591097,79422000
2007-04-11,5.015000,5.065000,4.898333,4.915000,4.508541,81015000
2007-04-12,4.888333,5.070000,4.856667,5.055000,4.636963,74364000
2007-04-13,5.038333,5.106667,4.976667,5.096667,4.675184,63869400
2007-04-16,5.083333,5.121667,5.005000,5.070000,4.650723,67183800
2007-04-17,5.198333,5.316667,5.093333,5.118333,4.695057,105910800
2007-04-18,5.110000,5.226667,5.083333,5.181667,4.753154,68380200
2007-04-19,5.140000,5.283333,5.125000,5.253333,4.818893,56805600
2007-04-20,5.330000,5.333333,5.245000,5.315000,4.875462,59005200
2007-04-23,5.290000,5.300000,5.213333,5.228333,4.795960,59527200
2007-04-24,5.316667,5.473333,5.281667,5.425000,4.976365,102808800
2007-04-25,5.416667,5.548333,5.391667,5.518333,5.061977,50964000
2007-04-26,5.518333,5.628333,5.468333,5.586667,5.124662,50007000
2007-04-27,5.568333,5.630000,5.423333,5.511667,5.055864,55405800
2007-04-30,5.586667,5.656667,5.480000,5.481667,5.028346,56338800
2007-05-01,5.581667,5.618333,5.495000,5.540000,5.081855,54455400
2007-05-02,5.568333,5.591667,5.446667,5.475000,5.022229,65965800
2007-05-03,5.526667,5.615000,5.516667,5.578333,5.117016,50025000
2007-05-04,5.608333,5.646667,5.555000,5.618333,5.153709,40524600
2007-05-07,5.700000,5.763333,5.500000,5.506667,5.051278,55710000
2007-05-08,5.473333,5.561667,5.366667,5.548333,5.089498,73710000
2007-05-09,5.508333,5.605000,5.445000,5.573333,5.112431,41787000
2007-05-10,5.596667,5.670000,5.421667,5.470000,5.017643,80258400
2007-05-11,5.765000,5.913333,5.676667,5.856667,5.372334,153063000
2007-05-14,5.833333,5.888333,5.743333,5.798333,5.318823,73156800
2007-05-15,5.815000,5.850000,5.733333,5.746667,5.271431,62136000
2007-05-16,5.751667,5.820000,5.641667,5.820000,5.338698,52310400
2007-05-17,5.803333,5.833333,5.690000,5.723333,5.250025,44366400
2007-05-18,5.766667,5.853333,5.718333,5.836667,5.353987,60426600
2007-05-21,5.820000,6.000000,5.791667,5.855000,5.370805,64576800
2007-05-22,5.860000,5.940000,5.765000,5.886667,5.399854,40173600
2007-05-23,5.890000,5.925000,5.713333,5.730000,5.256143,44824800
2007-05-24,5.756667,5.773333,5.500000,5.523333,5.066564,60780000
2007-05-25,5.563333,5.638333,5.546667,5.610000,5.146065,30897600
2007-05-29,5.586667,5.688333,5.570000,5.670000,5.201104,31624200
