Date,Stock Price,TTM Net EPS,PE Ratio
2024-03-07,926.69,,122.25
2023-10-31,407.75,7.58,53.79
2023-07-31,467.19,4.14,112.85
2023-04-30,277.40,1.92,144.48
2023-01-31,195.27,1.74,112.23
2022-10-31,134.87,2.35,57.39
2022-07-31,181.44,3.05,59.49
2022-04-30,185.24,3.73,49.66
2022-01-31,244.52,3.85,63.55
2021-10-31,255.28,3.25,78.67
2021-07-31,194.66,2.81,69.40
2021-04-30,149.80,2.11,70.91
2021-01-31,129.60,1.72,75.24
2020-10-31,125.02,1.53,81.85
2020-07-31,105.85,1.36,77.83
2020-04-30,72.83,1.34,54.45
2020-01-31,58.88,1.13,52.10
2019-10-31,50.02,0.98,51.17
2019-07-31,41.94,1.11,37.87
2019-04-30,44.94,1.32,33.98
2019-01-31,35.66,1.66,21.51
2018-10-31,52.30,1.87,27.93
2018-07-31,60.70,1.71,35.45
2018-04-30,55.72,1.47,37.91
2018-01-31,60.86,1.22,49.79
2017-10-31,51.17,0.99,51.95
2017-07-31,40.18,0.41,97.40
2017-04-30,25.76,0.75,34.23
2017-01-31,26.93,0.64,42.24
2016-10-31,17.53,0.48,36.70
2016-07-31,14.04,0.50,28.08
2016-04-30,8.71,0.51,17.08
2016-01-31,7.16,0.44,16.26
2015-10-31,6.91,0.27,25.58
2015-07-31,4.84,0.24,20.36
2015-04-30,5.36,0.28,19.13
2015-01-31,4.62,0.28,16.49
2014-10-31,4.68,0.26,18.34
2014-07-31,4.17,0.23,18.33
2014-04-30,4.38,0.21,20.62
2014-01-31,3.71,0.19,20.04
2013-10-31,3.57,0.19,18.53
2013-07-31,3.37,0.23,14.99
2013-04-30,3.20,0.23,13.77
2013-01-31,2.83,0.23,12.59
2012-10-31,2.75,0.20,13.58
2012-07-31,3.11,0.19,16.15
2012-04-30,2.98,0.21,14.38
2012-01-31,3.39,0.24,14.28
2011-10-31,3.40,0.26,13.07
2011-07-31,3.18,0.23,14.11
2011-04-30,4.59,0.10,45.92
2011-01-31,5.49,0.10,53.58
2010-10-31,2.76,0.09,30.66
2010-07-31,2.11,0.10,21.10
2010-04-30,3.61,0.12,31.36
2010-01-31,3.53,-0.04,0.00
2009-10-31,2.75,-0.16,0.00
